report_date,current_ratio_th,year,quarter,code
1998-12-31,0.60,1998,4,600396
1999-12-31,0.56,1999,4,600396
2000-06-30,False,2000,2,600396
2000-12-31,0.45,2000,4,600396
2001-06-30,2.35,2001,2,600396
2001-12-31,2.16,2001,4,600396
2002-03-31,2.56,2002,1,600396
2002-06-30,1.93,2002,2,600396
2002-09-30,1.02,2002,3,600396
2002-12-31,0.87,2002,4,600396
2003-03-31,1.05,2003,1,600396
2003-06-30,1.00,2003,2,600396
2003-09-30,1.01,2003,3,600396
2003-12-31,0.81,2003,4,600396
2004-03-31,0.98,2004,1,600396
2004-06-30,0.57,2004,2,600396
2004-09-30,0.59,2004,3,600396
2004-12-31,0.48,2004,4,600396
2005-03-31,0.51,2005,1,600396
2005-06-30,0.62,2005,2,600396
2005-09-30,0.52,2005,3,600396
2005-12-31,0.84,2005,4,600396
2006-03-31,0.61,2006,1,600396
2006-06-30,0.70,2006,2,600396
2006-09-30,0.70,2006,3,600396
2006-12-31,0.97,2006,4,600396
2007-03-31,1.08,2007,1,600396
2007-06-30,0.50,2007,2,600396
2007-09-30,0.56,2007,3,600396
2007-12-31,0.57,2007,4,600396
2008-03-31,0.62,2008,1,600396
2008-06-30,0.64,2008,2,600396
2008-09-30,0.67,2008,3,600396
2008-12-31,0.79,2008,4,600396
2009-03-31,0.70,2009,1,600396
2009-06-30,1.01,2009,2,600396
2009-09-30,0.83,2009,3,600396
2009-12-31,0.50,2009,4,600396
2010-03-31,0.96,2010,1,600396
2010-06-30,0.75,2010,2,600396
2010-09-30,0.62,2010,3,600396
2010-12-31,0.33,2010,4,600396
2011-03-31,0.36,2011,1,600396
2011-06-30,0.32,2011,2,600396
2011-09-30,0.38,2011,3,600396
2011-12-31,0.33,2011,4,600396
2012-03-31,0.39,2012,1,600396
2012-06-30,0.34,2012,2,600396
2012-09-30,0.35,2012,3,600396
2012-12-31,0.23,2012,4,600396
2013-03-31,0.24,2013,1,600396
2013-06-30,0.23,2013,2,600396
2013-09-30,0.24,2013,3,600396
2013-12-31,0.20,2013,4,600396
2014-03-31,0.29,2014,1,600396
2014-06-30,0.29,2014,2,600396
2014-09-30,0.30,2014,3,600396
2014-12-31,0.25,2014,4,600396
2015-03-31,0.26,2015,1,600396
2015-06-30,0.25,2015,2,600396
2015-09-30,0.27,2015,3,600396
2015-12-31,0.24,2015,4,600396
2016-03-31,0.23,2016,1,600396
2016-06-30,0.28,2016,2,600396
2016-09-30,0.26,2016,3,600396
2016-12-31,0.18,2016,4,600396
2017-03-31,0.18,2017,1,600396
2017-06-30,0.20,2017,2,600396
2017-09-30,0.22,2017,3,600396
2017-12-31,0.20,2017,4,600396
2018-03-31,0.17,2018,1,600396
2018-06-30,0.20,2018,2,600396
2018-09-30,0.21,2018,3,600396
2018-12-31,0.18,2018,4,600396
2019-03-31,0.18,2019,1,600396
2019-06-30,0.17,2019,2,600396
2019-09-30,0.17,2019,3,600396
2019-12-31,0.21,2019,4,600396
2020-03-31,0.24,2020,1,600396
2020-06-30,0.26,2020,2,600396
2020-09-30,0.28,2020,3,600396
2020-12-31,0.27,2020,4,600396
2021-03-31,0.25,2021,1,600396
2021-06-30,0.25,2021,2,600396
2021-09-30,0.25,2021,3,600396
2021-12-31,0.27,2021,4,600396
2022-03-31,0.26,2022,1,600396
2022-06-30,0.20,2022,2,600396
2022-09-30,0.19,2022,3,600396
2022-12-31,0.21,2022,4,600396
2023-03-31,0.21,2023,1,600396
2023-06-30,0.23,2023,2,600396
2023-09-30,0.31,2023,3,600396
2023-12-31,0.24,2023,4,600396
2024-03-31,0.25,2024,1,600396
2024-06-30,0.28,2024,2,600396
2024-09-30,0.34,2024,3,600396
2024-12-31,0.38,2024,4,600396
2025-03-31,0.39,2025,1,600396
2025-06-30,0.40,2025,2,600396
2025-09-30,0.42,2025,3,600396
2025-12-31,0.41,2025,4,600396
2026-03-31,0.45,2026,1,600396
